scheme_code,scheme_name,category
Open Ended Schemes(Debt Scheme - Banking and PSU Fund),,Other
Aditya Birla Sun Life Mutual Fund,,Other
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Debt
119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,Debt
119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,Debt
108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,Debt
110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,Debt
108274,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,Debt
110490,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,Debt
106157,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,Debt
108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,Debt
103176,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,Debt
119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,Debt
Axis Mutual Fund,,Other
128952,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,Debt
120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,Debt
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,Debt
120439,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,Debt
120436,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,Debt
128953,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,Debt
117447,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,Debt
117446,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,Debt
117449,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,Debt
117448,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,Debt
Bajaj Finserv Mutual Fund,,Other
152164,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,Other
152163,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,Other
152165,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,Other
152166,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,Other
152162,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,Other
152167,Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,Other
Bandhan Mutual Fund,,Other
121936,Bandhan Banking and PSU Fund - Direct Annual IDCW,Other
127471,Bandhan Banking and PSU Fund - Direct Daily IDCW,Other
121934,Bandhan Banking and PSU Fund - Direct Fortnightly IDCW,Other
121279,Bandhan Banking and PSU Fund - Direct Growth,Other
121281,Bandhan Banking and PSU Fund - Direct IDCW,Other
121935,Bandhan Banking and PSU Fund - Direct Monthly IDCW,Other
121938,Bandhan Banking and PSU Fund - Direct Quarterly IDCW,Other
121933,Bandhan Banking and PSU Fund - Regular Annual IDCW,Other
127470,Bandhan Banking and PSU Fund - Regular Daily IDCW,Other
121931,Bandhan Banking and PSU Fund - Regular Fortnightly IDCW,Other
121280,Bandhan Banking and PSU Fund - Regular Growth,Other
121282,Bandhan Banking and PSU Fund - Regular IDCW,Other
121932,Bandhan Banking and PSU Fund - Regular Monthly IDCW,Other
121937,Bandhan Banking and PSU Fund - Regular Quarterly IDCW,Other
Canara Robeco Mutual Fund,,Other
150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,Debt
150507,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,Debt
150503,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,Debt
150504,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),Debt
DSP Mutual Fund,,Other
124175,DSP Banking & PSU Debt Fund - Direct Plan - Growth,Debt
124178,DSP Banking & PSU Debt Fund - Direct Plan - IDCW,Debt
124182,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,Debt
124176,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,Debt
124177,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly ,Debt
124183,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,Debt
124172,DSP Banking & PSU Debt Fund - Regular Plan - Growth,Debt
124174,DSP Banking & PSU Debt Fund - Regular Plan - IDCW,Debt
124173,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,Debt
124180,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,Debt
124181,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly ,Debt
124179,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,Debt
Edelweiss Mutual Fund,,Other
140286,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,Debt
140288,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,Debt
140291,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,Debt
140293,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,Debt
140290,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,Debt
140283,Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,Debt
140284,Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,Debt
140294,Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,Debt
140292,Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,Debt
140289,Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,Debt
Franklin Templeton Mutual Fund,,Other
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,Debt
129006,Franklin India Banking & PSU Debt Fund - Growth,Debt
129009,Franklin India Banking and PSU Debt Fund - Direct - IDCW ,Debt
129007,Franklin India Banking and PSU Debt Fund - IDCW ,Debt
HDFC Mutual Fund,,Other
128628,HDFC Banking and PSU Debt Fund - Growth Option,Debt
128629,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,Debt
128627,HDFC Banking and PSU Debt Fund - IDCW Option,Debt
128626,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,Debt
HSBC Mutual Fund,,Other
151108,HSBC Banking and PSU Debt Fund - Direct Daily IDCW,Debt
